"query","query_type","abridged_query","year","n","reference_n","comparison_percentage","average_comparison_percentage","topic"
"TITLE-ABS-KEY(""bilingual advantage"" OR ""bilingual advantages"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2021,0,46,0,0.627943485086342,"bilingual advantage"
"TITLE-ABS-KEY(""bilingual advantage"" OR ""bilingual advantages"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2022,0,37,0,0.627943485086342,"bilingual advantage"
"TITLE-ABS-KEY(""bilingual advantage"" OR ""bilingual advantages"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2023,0,39,0,0.627943485086342,"bilingual advantage"
"TITLE-ABS-KEY(""bilingual advantage"" OR ""bilingual advantages"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2024,0,35,0,0.627943485086342,"bilingual advantage"
"TITLE-ABS-KEY(""bilingual advantage"" OR ""bilingual advantages"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2025,0,33,0,0.627943485086342,"bilingual advantage"
"TITLE-ABS-KEY(""bilingual advantage"" OR ""bilingual advantages"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2026,0,29,0,0.627943485086342,"bilingual advantage"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1980,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1981,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1982,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1983,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1984,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1985,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1986,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1987,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1988,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1989,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1990,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1991,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1992,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1993,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1994,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1995,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1996,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1997,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1998,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",1999,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2000,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2001,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2002,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2003,1,1,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2004,1,1,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2005,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2006,1,1,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2007,2,2,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2008,0,0,NA,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2009,2,2,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2010,2,2,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2011,2,2,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2012,2,2,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2013,4,4,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2014,9,9,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2015,5,5,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2016,8,8,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2017,3,3,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2018,4,4,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2019,4,4,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2020,6,6,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2021,8,8,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2022,16,16,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2023,17,17,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2024,10,10,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2025,12,12,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"")","reference","""sensorimotor simulation""",2026,13,13,100,100,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1980,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1981,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1982,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1983,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1984,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1985,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1986,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1987,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1988,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1989,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1990,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1991,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1992,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1993,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1994,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1995,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1996,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1997,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1998,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1999,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2000,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2001,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2002,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2003,0,1,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2004,0,1,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2005,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2006,0,1,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2007,0,2,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2008,0,0,NA,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2009,0,2,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2010,0,2,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2011,0,2,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2012,0,2,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2013,0,4,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2014,0,9,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2015,0,5,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2016,0,8,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2017,0,3,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2018,0,4,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2019,0,4,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2020,0,6,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2021,0,8,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2022,0,16,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2023,0,17,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2024,0,10,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2025,0,12,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""sensorimotor simulation"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2026,0,13,0,0,"sensorimotor simulation"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1980,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1981,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1982,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1983,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1984,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1985,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1986,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1987,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1988,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1989,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1990,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1991,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1992,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1993,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1994,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1995,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1996,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1997,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1998,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",1999,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2000,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2001,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2002,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2003,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2004,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2005,0,0,NA,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2006,3,3,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2007,13,13,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2008,14,14,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2009,32,32,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2010,15,15,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2011,25,25,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2012,26,26,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2013,23,23,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2014,27,27,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2015,22,22,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2016,28,28,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2017,28,28,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2018,53,53,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2019,62,62,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2020,97,97,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2021,95,95,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2022,138,138,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2023,205,205,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2024,309,309,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2025,362,362,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"")","reference","""artificial general intelligence""",2026,336,336,100,100,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1980,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1981,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1982,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1983,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1984,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1985,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1986,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1987,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1988,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1989,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1990,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1991,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1992,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1993,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1994,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1995,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1996,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1997,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1998,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1999,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2000,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2001,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2002,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2003,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2004,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2005,0,0,NA,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2006,0,3,0,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2007,1,13,7.69230769230769,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2008,1,14,7.14285714285714,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2009,1,32,3.125,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2010,0,15,0,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2011,0,25,0,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2012,1,26,3.84615384615385,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2013,0,23,0,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2014,0,27,0,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2015,1,22,4.54545454545455,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2016,0,28,0,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2017,1,28,3.57142857142857,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2018,2,53,3.77358490566038,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2019,2,62,3.2258064516129,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2020,3,97,3.09278350515464,2.5614218504966,"artificial general intelligence"
"TITLE-ABS-KEY(""artificial general intelligence"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2021,2,95,2.10526315789474,2.5614218504966,"artificial general intelligence"
